"Timestamp","After running `playerOneStrategyBuggyAllowsSquareStart` and looking at the UNSAT core highlighting, why do you think the first board cannot be square?","Describe how you would edit your definitions to fix 'PlayerOneStrategyBuggy' so that square boards are not impossible. ","Please order the following facts highlighted in the UNSAT core you saw earlier from most relevant to least relevant to the problem. **You can omit facts you are unsure about.**"
"2017/02/28 6:29:19 PM EST","Player One has to go first, the board can never go from square to square, so Player One would have to return a rectangle, which we disallow","let player two go first","C/D, E, F, H"
"2017/02/28 6:32:16 PM EST","I think it's because it's impossible to satisfy the choiced constraints since one of them has to be changed but the other one has to be the same so you will by definition get a rectangle","Change the all to some?","C, D, A"
"2017/02/28 6:33:08 PM EST","Because you can't only remove rows or cols from a square to make another square","Only have player one give a square if the first board is not a square","H, C, D, G, F, E, A, B"
"2017/02/28 6:36:00 PM EST","Unclear - the one useful piece of information is that it catches the buggy strategy as a potential reason for unsatisifibility, but other than that it doesn't really give any helpful indication as to why the first board cannot be square ","Add something else, which says that says disregard cases where the board was not square to begin with (i.e. only in cases where the pre-move board had an unequal number of rows and columns would you have to enforce that the after-board had an equal number of rows and columns if player 1 just moved)","H, G, F, E, C, D,A,B, F"
"2017/02/28 6:36:12 PM EST","If the first board is square, and player one must remove either some number of rows or some number of cols, the board after player one's move will inherently be not square.","Either:
a) Player one's buggy strategy must allow player one to make a move that returns in a rectangular board (perhaps there are some winning strategies there after all?) 
b) The game rules must allow a move to map a square board to another square board. This could happen if a player is allowed to remove 0 rows/cols or if a player is allowed to remove the same number of rows and cols in one move.","H, G, C, D, E, F, A, B"
"2017/02/28 6:47:22 PM EST","Because if PlayerOne starts and the board is square then PlayerOne can not give PlayerTwo a square board because you cannot remove both rows and cols or skip your turn.","I would just add an implies statement. Thus, PlayerTwo would only return a square board if  the board PlayerTwo was given was not square. Otherwise PlayerTwo could return whatever board they please.","F, G, C, D"
"2017/02/28 6:47:51 PM EST","Because PlayerOne always starts and our PlayerOneStrategyBuggy pred ensures that whenever it's Player One's turn then the board must be square.","Exclude the first move from the quantification to ensure that no first square boards are impossible","H, G, E, F, D, C, B, A"
"2017/02/28 6:52:52 PM EST","I think it's the combination of the restriction that player One always returns a square board (""move.after.rows = move.after.cols"") and the restriction that player One is always the first player (""first.player = One"").","Add the condition ""move.before.rows = move.before.cols"" to the condition in PlayerOneStrategyBuggy with an ""or"". That way, Player One will always return a square board unless they start with a square board at the beginning of their turn.","G, E, H, C, D, B"
"2017/02/28 6:58:04 PM EST","Because the first player has to make a move and the first player's strategy is to create square boards, square starting boards are not possible.","Something would need to be added to allow for a starting square board case.","C & D, F, E, G, H, A & B"
"2017/02/28 6:59:09 PM EST","if the first player's strategy is to make a square board, and they are initially given a square board, they can't break off the board in such a way to create another square. (If given a square, they will make a rectangle, which isn't allowed --> first board cannot be square)","need to special case when m.before.rows = m.before.cols","C D H G A E B F"
